intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,SWIFT,None,UVOT,None,U,OPTICAL,M101ULX-1,None,00030896001,210.884468835902,54.3320323874192,cube,None,2,54160.089537,54160.8269792,1556.7224828509793,301400000000.0,394200000000.0,None,,None,None,-999,POLYGON -148.68197799999996 54.250447 -148.72010699999998 54.380959 -148.771094 54.525161 -148.80113844209316 54.522015545787568 -148.80339800000002 54.528132 -149.00890800000002 54.505617 -149.22571413697636 54.475317193971954 -149.23336 54.474477 -149.23331320240226 54.4742473291218 -149.25735499999996 54.470859 -149.25591688496976 54.465950017458638 -149.37013000000002 54.452035 -149.36860315816716 54.445640407505977 -149.38111000000004 54.443785 -149.339132 54.309445 -149.32235856865978 54.265305792795992 -149.31201271706755 54.2313318148205 -149.29647799999998 54.175928999999996 -149.28874914509623 54.176570406780428 -149.28693099999998 54.171759 -149.13378760314151 54.189321891688223 -149.070602 54.194462 -148.83541400000001 54.220082 -148.83659838226143 54.22526868924821 -148.83561599999996 54.225382 -148.83630396949408 54.228123086154028 -148.706526 54.241669 -148.70769828707938 54.247103078929328 -148.68197799999996 54.250447 -148.68197799999996 54.250447,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896001uuu[6]&size=ALL&output_size=2320,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896001/sw00030896001uuu_sk.img,PUBLIC,False,5885.0,1528454,0.0
science,SWIFT,None,UVOT,None,B,OPTICAL,M101ULX-1,None,00030896001,210.884468835902,54.3320323874192,cube,None,2,54160.0926389,54160.8298611,1321.127534270578,369500000000.0,499000000000.0,None,,None,None,-999,POLYGON -148.68055500000003 54.251137 -148.71914400000003 54.383325 -148.76966600000003 54.525852 -148.79971225606661 54.522700039573856 -148.801893 54.528631 -149.00692600000002 54.506118 -149.255857 54.471223 -149.25438642604269 54.466197489340161 -149.369172 54.452177 -149.36789795426569 54.446874721773582 -149.38007800000003 54.445068 -149.33785699999999 54.309473 -149.32247302428951 54.268984279905432 -149.30851692705431 54.223198271124559 -149.29528800000003 54.176209 -149.28758049009454 54.176848469840927 -149.28614200000004 54.173041 -149.1650582692817 54.186945074546394 -149.071079 54.194602 -148.83421899999996 54.220359 -148.83541186984021 54.225570809784969 -148.83465999999999 54.225658 -148.83529618274471 54.228190666609642 -148.70471299999997 54.241805 -148.70600985108217 54.247821258905468 -148.68055500000003 54.251137 -148.68055500000003 54.251137,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896001ubb[3]&size=ALL&output_size=2360,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896001/sw00030896001ubb_sk.img,PUBLIC,False,5885.0,1528367,0.0
science,SWIFT,None,UVOT,None,V,OPTICAL,M101ULX-1,None,00030896001,210.884468835902,54.3320323874192,cube,None,2,54160.0864236,54160.8236806,1556.6573662751703,493000000000.0,599600000000.0,None,,None,None,-999,POLYGON -148.677795 54.25236 -148.715914 54.383013 -148.76689299999998 54.527077 -148.79733100763883 54.523887414718686 -148.799256 54.5291 -149.00813700000003 54.506176 -149.20675481345972 54.478393303818912 -149.230124 54.475818 -149.22998152340259 54.475120606858283 -149.25322900000003 54.47184 -149.25169754434006 54.466605624293841 -149.364018 54.452874 -149.3623991513752 54.446109151270271 -149.374796 54.444269 -149.334051 54.31369 -149.31714919133196 54.2690257676602 -149.30918829525407 54.2429225902402 -149.29039699999998 54.176035 -149.28233203025204 54.176705433435096 -149.28065200000003 54.17224 -149.14010895300339 54.18843625402986 -149.06332699999996 54.194697 -148.82932700000003 54.220168 -148.83070580979694 54.226200107309516 -148.829521 54.226337 -148.8303873405369 54.229799952671542 -148.70329100000004 54.242997 -148.70455383266176 54.248875883963585 -148.677795 54.25236 -148.677795 54.25236,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896001uvv[2]&size=ALL&output_size=2291,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896001/sw00030896001uvv_sk.img,PUBLIC,False,5885.0,1528368,0.0
science,SWIFT,None,UVOT,None,B,OPTICAL,M101ULX-1,None,00030896002,210.87327679327598,54.3272453576269,cube,None,2,54167.8553241,54167.925,492.45150504901903,369500000000.0,499000000000.0,None,,None,None,-999,POLYGON -148.739102 54.278553 -148.81214699999998 54.409146 -148.89597600000002 54.542782 -149.09119699999997 54.504509 -149.331797 54.449398 -149.3257133348925 54.438268625830091 -149.40461800000003 54.421121 -149.335622 54.285441 -149.261149 54.156561 -149.036501 54.197459 -148.818287 54.243534 -148.82634490022983 54.259076421239428 -148.739102 54.278553 -148.739102 54.278553,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896002ubb[2]&size=ALL&output_size=2558,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896002/sw00030896002ubb_sk.img,PUBLIC,False,5885.0,1528369,0.0
science,SWIFT,None,UVOT,None,V,OPTICAL,M101ULX-1,None,00030896002,210.87327679327598,54.3272453576269,cube,None,2,54167.8469444,54167.9199074,594.014916211649,493000000000.0,599600000000.0,None,,None,None,-999,POLYGON -148.736491 54.279777 -148.80929300000003 54.410092 -148.89335600000004 54.544009 -149.09242800000004 54.504904 -149.32919400000003 54.450493 -149.322211834029 54.437749163080923 -149.401256 54.420572 -149.332514 54.285308 -149.257812 54.156007 -149.04174799999998 54.195232 -148.814949 54.242967 -148.82392341960553 54.260265894714045 -148.736491 54.279777 -148.736491 54.279777,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896002uvv[1]&size=ALL&output_size=2533,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896002/sw00030896002uvv_sk.img,PUBLIC,False,5885.0,1538401,0.0
science,SWIFT,None,UVOT,None,U,OPTICAL,M101ULX-1,None,00030896002,210.87327679327598,54.3272453576269,cube,None,2,54167.8511343,54167.9228472,594.036628287794,301400000000.0,394200000000.0,None,,None,None,-999,POLYGON -148.74032999999997 54.278239 -148.80864199999996 54.401568 -148.89696800000002 54.542606 -149.09723199999996 54.503217 -149.332785 54.44908 -149.32663374579641 54.437832031684721 -149.405574 54.420701 -149.33754 54.286832 -149.26210000000003 54.156141 -149.04150900000002 54.196207 -148.819006 54.243117 -148.82720310136619 54.258887945773282 -148.74032999999997 54.278239 -148.74032999999997 54.278239,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896002uuu[1]&size=ALL&output_size=2532,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896002/sw00030896002uuu_sk.img,PUBLIC,False,5885.0,1538400,0.0
science,SWIFT,None,UVOT,None,B,OPTICAL,M101ULX-1,None,00030896003,210.923634625535,54.3282956510719,cube,None,2,54174.08,54174.4770833,1394.5118683133264,369500000000.0,499000000000.0,None,,None,None,-999,POLYGON -148.74992599999996 54.274039 -148.75388843923795 54.278870538354568 -148.753868 54.278877 -148.853524 54.4 -148.91836758934591 54.472019462751952 -148.95772499999998 54.520576 -148.95957949240758 54.520099794165468 -148.96194400000002 54.523008 -148.96396462438588 54.522490363362472 -148.969607 54.528726 -148.97844873894684 54.526196478480934 -148.99413000000004 54.542743 -149.179083 54.48695 -149.40029800000002 54.411818 -149.38491254118554 54.393762855160446 -149.385625 54.393524 -149.29306220499802 54.282345456338227 -149.287483 54.274997 -149.24652928629104 54.226228666798889 -149.188464 54.153205 -149.18667250205789 54.153664392255813 -149.184277 54.150643 -149.18344698075859 54.150855919653388 -149.182079 54.149218 -149.17504153202148 54.151123907053012 -149.17046700000003 54.146089 -149.07548185504268 54.173973714310286 -148.957407 54.207767 -148.91534821806948 54.2212471183592 -148.760532 54.265595 -148.763017938546 54.269001616463996 -148.76236800000004 54.269197 -148.76291605067598 54.269906504619108 -148.74992599999996 54.274039 -148.74992599999996 54.274039,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896003ubb[7]&size=ALL&output_size=2707,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896003/sw00030896003ubb_sk.img,PUBLIC,False,5885.0,1532627,0.0
science,SWIFT,None,UVOT,None,V,OPTICAL,M101ULX-1,None,00030896003,210.923634625535,54.3282956510719,cube,None,2,54174.0737269,54174.544294,1657.5146726423409,493000000000.0,599600000000.0,None,,None,None,-999,POLYGON -148.745586 54.27395 -148.84466016107496 54.393943421473416 -148.85505 54.407332 -148.967309 54.538841 -148.98132970692382 54.535061347723627 -148.99032899999997 54.544553 -149.17409699999996 54.489186 -149.396528 54.413643 -149.37986437325236 54.394086718219747 -149.381083 54.393678 -149.29986425569305 54.2960127070584 -149.282979 54.273828 -149.24330404839094 54.226671223798888 -149.184772 54.153065 -149.18391917996647 54.153283446041094 -149.181174 54.149822 -149.17927271650436 54.150309518465285 -149.17831 54.149159 -149.1705074063421 54.151269827369191 -149.16594399999997 54.146236 -149.09470255672471 54.167182325934974 -148.95307200000002 54.207685 -148.922863564489 54.217368121707828 -148.757431 54.264766 -148.76020988280749 54.268565597784836 -148.758349 54.269125 -148.7588258598926 54.269738558940347 -148.745586 54.27395 -148.745586 54.27395,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896003uvv[2]&size=ALL&output_size=2653,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896003/sw00030896003uvv_sk.img,PUBLIC,False,5885.0,1528372,0.0
science,SWIFT,None,UVOT,None,U,OPTICAL,M101ULX-1,None,00030896003,210.923634625535,54.3282956510719,cube,None,2,54174.076875,54174.5444444,1650.3912438163284,301400000000.0,394200000000.0,None,,None,None,-999,POLYGON -148.750428 54.273404 -148.8243974409113 54.362906926465051 -148.853048 54.397792 -148.85712242143379 54.402329115075005 -148.97090100000003 54.535752 -148.98573064199132 54.531754290931907 -148.994593 54.541111 -149.178339 54.485737 -149.40074500000003 54.410187 -149.38311381749668 54.389494001832631 -149.30132009486286 54.291104350498465 -149.28826600000002 54.273968 -149.23357426160922 54.208873644388234 -149.189036 54.152825 -149.1870603543085 54.153331130378142 -149.18501374050734 54.150883416455905 -149.18453999999997 54.150287 -149.18451948977514 54.150292252721087 -149.18334300000004 54.148885 -149.17574835949515 54.150936928168321 -149.170818 54.145497 -149.07807760204736 54.172693922593 -148.961483 54.206019 -148.91097108956885 54.222199910896613 -148.760563 54.26524 -148.76350846265345 54.269244808491351 -148.750428 54.273404 -148.750428 54.273404,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896003uuu[1]&size=ALL&output_size=2693,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896003/sw00030896003uuu_sk.img,PUBLIC,False,5885.0,1538435,0.0
science,SWIFT,None,UVOT,None,UVW2,UV;OPTICAL,M101ULX-1,None,00030896004,210.88713700915298,54.3538640802463,cube,None,2,54181.0147454,54181.9631944,5352.671015789132,159300000000.0,337000000000.0,None,,None,None,-999,POLYGON -148.798137 54.270345 -148.84483721589885 54.349196437057707 -148.94956000000002 54.53554 -148.9553224342431 54.534477526987885 -148.956161 54.535877 -149.07976327329089 54.511452848057779 -149.14612699999998 54.499111 -149.39021300000002 54.44581 -149.38989983912631 54.445243119795876 -149.39415199999996 54.444316 -149.39270317070688 54.441664840216923 -149.393893 54.441388 -149.39373445539263 54.441118689383423 -149.39748199999997 54.440264 -149.34482109527147 54.348146983948155 -149.25937199999998 54.172777 -149.040618 54.208263 -148.80996900000002 54.252527 -148.81554047111169 54.263733544409469 -148.804617 54.266039 -148.80490856791329 54.26656573842638 -148.80413399999998 54.266735 -148.80448401314138 54.267341208025883 -148.799712 54.268348 -148.80052594602191 54.269809268077189 -148.798137 54.270345 -148.798137 54.270345,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896004uw2[1]&size=ALL&output_size=1275,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896004/sw00030896004uw2_sk.img,PUBLIC,False,5885.0,1538436,0.0
